Grammar,Swedish,English,Type,Examples
en,lansering,launch,noun-en,
en,handduk,towel,noun-en,
en,honung,honey,noun-en,
en,kanin,rabbit,noun-en,
en,målare,painter,noun-en,
,plågsam,painful,adjective,
en,trollkarl,wizard,noun-en,
att,avancera,advance,verb,
,homogen,homogeneous,adjective,
att,skingra,dispel,verb,
att,underordna,subordinate,verb,
en,överlägsenhet,superiority,noun-en,
att,krocka,crash,verb,
en,filt,blanket,noun-en,
ett,herravälde,dominion,noun-ett,
en,ryttare,rider,noun-en,
en,peppar,pepper,noun-en,
,nominell,nominal,adjective,
att,spola,flush,verb,
,defensiv,defensive,adjective,
en,katedral,cathedral,noun-en,
,fjärran,distance,adjective,
,skär,notch,adjective,
en,desperation,desperation,noun-en,
att,blöda,bleed,verb,
en,ört,herb,noun-en,
,avslappnad,relaxed,adjective,
en,efterlevnad,compliance,noun-en,
ett,resande,traveler,noun-ett,
ett,bär,carrying,noun-ett,
ett,mysterium,mystery,noun-ett,
,omvänt,conversely,adverb,
en,lillasyster,sister,noun-en,
en,massage,massage,noun-en,
,märkbar,noticeable,adjective,
en,hane,male,noun-en,
,regelrätt,downright,adjective,
en,gryning,dawn,noun-en,
en,gudom,deity,noun-en,
en,överste,colonel,noun-en,
,uttråkad,bored,adjective,
en,helikopter,helicopter,noun-en,
en,parasit,parasite,noun-en,
en,utgrävning,excavation,noun-en,
en,drake,dragon,noun-en,
att,kryssa,tick,verb,
en,stolpe,post,noun-en,
en,kartong,cardboard,noun-en,
en,realism,realism,noun-en,
en,stackare,worm,noun-en,
en,höft,hip,noun-en,
en,skinka,ham,noun-en,
,stökig,messy,adjective,
att,råna,rob,verb,
att,anförtro,depute,verb,
en,försäljare,salesman,noun-en,
ett,gränssnitt,interface,noun-ett,
en,stängning,closing,noun-en,
,elfte,eleventh,numeral,
ett,schack,chess,noun-ett,
en,benägenhet,tendency,noun-en,
ett,intag,intake,noun-ett,
ett,stadion,stadium,noun-ett,
,autentisk,authentic,adjective,
en,blankett,form,noun-en,
en,fotografering,photographing,noun-en,
en,rullstol,wheelchair,noun-en,
ett,årtal,year,noun-ett,
ett,språng,leap,noun-ett,
en,brunn,well,noun-en,
,artificiell,artificial,adjective,
en,företagsamhet,enterprise,noun-en,
att,filtrera,filter,verb,
en,förolämpning,insult,noun-en,
ett,kompani,company,noun-ett,
att,subventionera,subsidize,verb,
en,uthållighet,endurance,noun-en,
en,matsal,dining room,noun-en,
en,skymning,dusk,noun-en,
en,bekvämlighet,comfort,noun-en,
,eländig,seamy,adjective,
ett,ark,sheet,noun-ett,
en,bulle,bun,noun-en,
en,parad,parade,noun-en,
att,stressa,stress,verb,
en,glimt,glimpse,noun-en,
en,massaker,massacre,noun-en,
,riklig,ample,adjective,
ett,utlopp,outlet,noun-ett,
en,diplomati,diplomacy,noun-en,
en,sås,sauce,noun-en,
att,omfamna,embrace,verb,
att,absorbera,absorb,verb,
en,brandman,fire-fighter,noun-en,
en,lätthet,ease,noun-en,
en,uppslutning,digestion,noun-en,
ett,farväl,farewell,noun-ett,
att,specificera,specify,verb,
en,broms,brake,noun-en,
en,dynasti,dynasty,noun-en,
ett,tomrum,void,noun-ett,
en,förbrukning,consumption,noun-en,
att,klia,scratch,verb,
att,tillgripa,resorting,verb,
,trög,sluggish,adjective,
en,välgörenhet,charity,noun-en,
en,instinkt,instinct,noun-en,
,hädanefter,hereinafter,adverb,
att,utdela,award,verb,
en,adoption,adoption,noun-en,
ett,försvinnande,disappearance,noun-ett,
en,gisslan,hostage,noun-en,
att,kvalificera,qualify,verb,
en,nykomling,newcomer,noun-en,
en,prenumeration,subscription,noun-en,
en,barack,barracks,noun-en,
en,fotbollsspelare,footballer,noun-en,
en,förevändning,pretext,noun-en,
,aha,aha,interj,
en,bukt,bay,noun-en,
en,grundtanke,keynote,noun-en,
att,slicka,lick,verb,
,genial,ingenious,adjective,
en,grind,gate,noun-en,
ett,kuvert,envelope,noun-ett,
,odödlig,immortal,adjective,
,elektronik,electronics,noun-en,
en,publicitet,publicity,noun-en,
en,barnmorska,midwife,noun-en,
,påfallande,striking,adjective,
en,kavaj,jacket,noun-en,
en,lins,lens,noun-en,
ett,psyke,psyche,noun-ett,
en,allergi,allergy,noun-en,
,resande,traveler,adjective,
att,specialisera,specialize,verb,
en,mognad,maturity,noun-en,
ett,skelett,skeleton,noun-ett,
,mager,lean,adjective,
en,beslutsamhet,determination,noun-en,
ett,brödraskap,brotherhood,noun-ett,
,slumpmässig,random,adjective,
en,helgdag,holiday,noun-en,
en,inlärning,learning,noun-en,
ett,manuskript,manuscript,noun-ett,
,massvis,lots,adverb,
en,uppvisning,display,noun-en,
en,följeslagare,companion,noun-en,
,ovetande,unaware,adjective,
en,portfölj,portfolio,noun-en,
en,trohet,fidelity,noun-en,
,kontant,cash,adjective,
,kontanter,cash,noun-en,
,bomull,cotton,noun-en,
en,höna,chicken,noun-en,
en,nattvard,communion,noun-en,
en,rutt,route,noun-en,
en,avsättning,deposition,noun-en,
ett,lår,thigh,noun-ett,
att,motbevisa,rebut,verb,
en,gröt,porridge,noun-en,
en,logotyp,logotype,noun-en,
en,nyårsafton,years eve,noun-en,
en,fläkt,fan,noun-en,
en,högtalare,speaker,noun-en,
att,kräkas,vomit,verb,
att,lokalisera,locate,verb,
ett,lantbruk,agriculture,noun-ett,
en,fjäril,butterfly,noun-en,
en,officer,officer,noun-en,
ett,påbud,decree,noun-ett,
,underkläder,underwear,noun-en,
,hastig,rapid,adjective,
en,faster,aunt,noun-en,
att,sammankalla,convene,verb,
en,anekdot,anecdote,noun-en,
,rekommenderad,recommended,adjective,
ett,dike,trench,noun-ett,
en,parfym,perfume,noun-en,
en,intuition,intuition,noun-en,
,kortvarig,brief,adjective,
ett,växthus,greenhouse,noun-ett,
en,modul,module,noun-en,
att,fantisera,fantasize,verb,
en,landsman,compatriot,noun-en,
en,skönlitteratur,fiction,noun-en,
en,maka,wife,noun-en,
,prosa,prose,noun,
en,användbarhet,utility,noun-en,
en,förläggare,publisher,noun-en,
att,förolämpa,insult,verb,
,påföljande,subsequent,adjective,
en,notering,listing,noun-en,
en,nål,needle,noun-en,
,talrik,numerous,adjective,
en,komplettering,completion,noun-en,
ett,ordspråk,proverb,noun-ett,
en,solnedgång,sunset,noun-en,
ett,attribut,attribute,noun-ett,
ett,fosterland,motherland,noun-ett,
ett,klot,globe,noun-ett,
att,utbetala,disburse,verb,
ett,alfabet,alphabet,noun-ett,
en,bokföring,accounting,noun-en,
,fräck,cheeky,adjective,
,gammaldags,old-fashioned,adjective,
,Jorden,earth,proper name,
,jaså,oh really,interj,
en,lämplighet,suitability,noun-en,
ett,sönderfall,decomposition,noun-ett,
en,ämbetsman,official,noun-en,
en,duell,duel,noun-en,
en,likviditet,liquidity,noun-en,
att,lossna,loosen,verb,
en,mikrofon,microphone,noun-en,
en,trottoar,pavement,noun-en,
en,slips,tie,noun-en,
ett,hormon,hormone,noun-ett,
ett,illamående,nausea,noun-ett,
en,tilldelning,allocation,noun-en,
,aluminium,aluminum,noun-ett,
en,kappa,coat,noun-en,
en,permission,leave,noun-en,
ett,försprång,lead,noun-ett,
,intim,intimate,adjective,
en,älskare,lover,noun-en,
ett,skvaller,gossip,noun-ett,
en,metodik,methodology,noun-en,
en,attraktion,attraction,noun-en,
ett,fragment,fragment,noun-ett,
en,magister,m.sc.,noun-en,
en,reserv,reserve,noun-en,
en,ekologi,ecology,noun-en,
en,sponsring,sponsoring,noun-en,
en,adelsman,nobleman,noun-en,
ett,maskineri,machinery,noun-ett,
en,spalt,column,noun-en,
en,underkastelse,submission,noun-en,
,uråldrig,ancient,adjective,
en,clown,clown,noun-en,
,noll,zero,noun,
,verbal,verbal,adjective,
ett,framträdande,prominent,noun-ett,
en,polisstation,police station,noun-en,
att,borsta,brush,verb,
en,bägare,cup,noun-en,
,gränslös,limitless,adjective,
ett,kärl,container,noun-ett,
,utomordentlig,excellent,adjective,
en,manager,manager,noun-en,
en,sångerska,singer,noun-en,
ett,kooperativ,cooperative,noun-ett,
,genomskinlig,transparent,adjective,
en,kalender,calendar,noun-en,
en,option,option,noun-en,
en,arkeolog,archaeologist,noun-en,
en,oändlighet,infinity,noun-en,
ett,netto,net,noun-ett,
ett,veto,veto,noun-ett,
en,veteran,veteran,noun-en,
en,kalori,calorie,noun-en,
en,vits,white,noun-en,
en,kruka,pot,noun-en,
ett,lotteri,lottery,noun-ett,
ett,spektrum,spectrum,noun-ett,
ett,attentat,attack,noun-ett,
att,avtala,prearrange,verb,
en,förutsägelse,prediction,noun-en,
en,halvtid,half-time,noun-en,
ett,kvitto,receipt,noun-ett,
,oförutsedd,unforeseen,adjective,
,livskraftig,viable,adjective,
att,delegera,delegate,verb,
en,flit,diligence,noun-en,
,fullvärdig,full,adjective,
en,stab,staff,noun-en,
ett,päron,pear,noun-ett,
,myndig,age,adjective,
ett,förräderi,treason,noun-ett,
ett,förskott,advance,noun-ett,
att,raka,straight,verb,
att,svida,sting,verb,
,syntetisk,synthetic,adjective,
att,mala,grind,verb,
en,frisör,hairdresser,noun-en,
en,osanning,falsehood,noun-en,
en,identifiering,identification,noun-en,
,undre,lower,adjective,
en,återvinning,recycling,noun-en,
att,hurra,hurray,verb,
en,landning,landing,noun-en,
att,spilla,spill,verb,
en,duva,dove,noun-en,
att,pryda,adorn,verb,
att,karakterisera,characterize,verb,
att,komponera,compose,verb,
,vidsträckt,wide,adjective,
en,areal,area,noun-en,
en,utvecklare,developer,noun-en,
att,betjäna,serve,verb,
en,projektion,projection,noun-en,
,skrattretande,ridiculous,adjective,
,bacon,bacon,noun-ett,
ett,gräl,quarrel,noun-ett,
en,diameter,diameter,noun-en,
att,förhöra,catechize,verb,
en,läsk,soft,noun-en,
att,tillmäta,to measure,verb,
en,åsna,donkey,noun-en,
en,konsolidering,consolidation,noun-en,
en,tidtabell,schedule,noun-en,
en,återbetalning,refund,noun-en,
,explicit,explicit,adverb,
ett,kaf,qac,noun-ett,
,manifest,manifest,adjective,
,stram,tight,adjective,
en,handske,glove,noun-en,
,informativ,informative,adjective,
en,rekonstruktion,reconstruction,noun-en,
en,ridning,riding,noun-en,
ett,garn,yarn,noun-ett,
,samtidig,simultaneous,adjective,
,matt,dull,adjective,
att,bredda,broaden,verb,
en,gruppledare,group leader,noun-en,
ett,certifikat,certificate,noun-ett,
ett,garage,garage,noun-ett,
,sociologi,sociology,noun-en,
,angränsande,adjacent,adjective,
,festlig,festive,adjective,
att,generalisera,generalize,verb,
en,glödlampa,bulb,noun-en,
att,grubbla,ponder,verb,
en,lantbrukare,farmer,noun-en,
ett,stipendium,scholarship,noun-ett,
att,strukturera,structure,verb,
en,tjur,bull,noun-en,
en,böna,bean,noun-en,
,erotisk,erotic,adjective,
,förträfflig,excellent,adjective,
en,löpare,runner,noun-en,
ett,medlidande,compassion,noun-ett,
,spänd,tense,adjective,
en,gardin,curtain,noun-en,
en,programmerare,programmer,noun-en,
en,radiostation,radio station,noun-en,
att,hosta,cough,verb,
en,jämvikt,equilibrium,noun-en,
en,tonvikt,emphasis,noun-en,
en,lobby,lobby,noun-en,
,explosiv,explosive,adjective,
,hjälplös,helpless,adjective,
en,klausul,clause,noun-en,
en,spindel,spider,noun-en,
en,topplista,rating,noun-en,
en,klump,lump,noun-en,
,trivsam,pleasant,adjective,
,brådskande,urgent,adjective,
,elementär,elemental,adjective,
att,rättfärdiga,justify,verb,
att,navigera,navigate,verb,
att,darra,tremble,verb,
en,flygel,wing,noun-en,
en,orientering,orientation,noun-en,
,utpräglad,pronounced,adjective,
att,bebo,inhabit,verb,
ett,embryo,embryo,noun-ett,
ett,lexikon,dictionary,noun-ett,
,experimentell,experimental,adjective,
att,instifta,institute,verb,
,väsentligen,essentially,adverb,
,kortfattad,short,adjective,
ett,referat,abstracts,noun-ett,
en,fyr,lighthouse,noun-en,
en,förbränning,combustion,noun-en,
att,inrymma,accommodate,verb,
,privilegierad,privileged,adjective,
en,kardinal,cardinal,noun-en,
en,essens,essence,noun-en,
en,affärsverksamhet,business,noun-en,
,extraordinär,extraordinary,adjective,
en,grammatik,grammar,noun-en,
en,komposition,composition,noun-en,
en,krok,hook,noun-en,
en,kyss,kiss,noun-en,
,företrädesvis,preferably,adverb,
,medfödd,congenital,adjective,
en,jurisdiktion,jurisdiction,noun-en,
att,knipa,fix,verb,
en,kondition,fitness,noun-en,
,oriktig,incorrect,adjective,
,proportionell,proportional,adjective,
,själslig,spiritual,adjective,
ett,dagsljus,daylight,noun-ett,
en,fukt,moisture,noun-en,
ett,abonnemang,subscription,noun-ett,
att,sammanföra,combining,verb,
en,ånga,steam,noun-en,
en,aktiemarknad,stock market,noun-en,
en,mapp,folder,noun-en,
en,prototyp,prototype,noun-en,
att,vilseleda,mislead,verb,
en,immigrant,immigrant,noun-en,
ett,anlag,predisposition,noun-ett,
en,fullmakt,proxy,noun-en,
en,hyresvärd,landlord,noun-en,
en,klassificering,classification,noun-en,
en,parlamentsledamot,mep,noun-en,
att,försena,delay,verb,
en,renhet,purity,noun-en,
,övertid,overtime,noun-en,
,allergisk,allergic,adjective,
att,eskalera,escalate,verb,
en,föreståndare,director,noun-en,
en,spanare,scout,noun-en,
en,instruktör,instructor,noun-en,
en,mugg,mug,noun-en,
en,granat,garnet,noun-en,
,ofrivillig,involuntary,adjective,
,subtil,subtle,adjective,
,successiv,successive,adjective,
en,välvilja,benevolence,noun-en,
,banal,banal,adjective,
ett,spjut,spear,noun-ett,
ett,hektar,hectare,noun-ett,
att,avvärja,ward off,verb,
en,hållplats,stop,noun-en,
att,härma,mimic,verb,
en,distributör,distributor,noun-en,
en,hårdvara,hardware,noun-en,
en,grop,pit,noun-en,
att,repetera,repeat,verb,
en,utrotning,eradication,noun-en,
ett,grannskap,neighborhood,noun-ett,
en,kamel,camel,noun-en,
ett,avlopp,drain,noun-ett,
,hjälpsam,helpful,adjective,
ett,ämnesområde,subject matter,noun-ett,
,ändlös,endless,adjective,
en,flamma,flame,noun-en,
en,livmoder,uterus,noun-en,
en,reduktion,reduction,noun-en,
att,susa,whiz,verb,
en,funktionalitet,functionality,noun-en,
att,kulminera,culminate,verb,
,slät,smooth,adjective,
en,hysteri,hysteria,noun-en,
en,rulle,roll,noun-en,
,nattlig,nightly,adjective,
en,stråle,beam,noun-en,
att,avskilja,separate,verb,
att,värdesätta,value,verb,
en,bark,bark,noun-en,
en,nalle,teddy bear,noun-en,
en,fångst,catch,noun-en,
,revolutionerande,revolutionary,adjective,
en,ark,sheet,noun-en,
en,fåtölj,armchair,noun-en,
,ogiltig,invalid,adjective,
en,hygien,hygiene,noun-en,
,tegel,brick,noun-ett,
att,accelerera,accelerate,verb,
,gedigen,solid,adjective,
en,känslighet,sensitivity,noun-en,
en,sluttning,slope,noun-en,
,nordväst,northwest,noun,
,utsökt,delicious,adjective,
en,analogi,analogy,noun-en,
,avliden,deceased,adjective,
en,specifikation,specification,noun-en,
en,samordnare,coordinator,noun-en,
en,stöt,shock,noun-en,
en,bandit,bandit,noun-en,
en,devalvering,devaluation,noun-en,
en,internationalisering,internationalization,noun-en,
ett,kölvatten,wake,noun-ett,
att,frige,release,verb,
en,åska,thunder,noun-en,
ett,hallå,hello,noun-ett,
ett,badkar,bathtub,noun-ett,
en,obligation,bond,noun-en,
,vertikal,vertical,adjective,
ett,sommarlov,summer,noun-ett,
en,volontär,volunteer,noun-en,
en,likgiltighet,indifference,noun-en,
,mottaglig,susceptible,adjective,
en,noggrannhet,accuracy,noun-en,
ett,tjat,nagging,noun-ett,
att,addera,add,verb,
en,barnvagn,stroller,noun-en,
,hurra,hurray,interj,
en,simning,swimming,noun-en,
en,omvårdnad,nursing,noun-en,
att,beskydda,protect,verb,
,fyrkantig,square,adjective,
en,tunna,barrel,noun-en,
,ull,wool,noun-en,
en,avresa,departure,noun-en,
en,båge,arc,noun-en,
,robust,robust,adjective,
en,suppleant,substitute,noun-en,
,energisk,energetic,adjective,
,rikligt,plentiful,adverb,
att,blotta,naked,verb,
en,lokalisering,location,noun-en,
att,interagera,interacting,verb,
en,julgran,christmas tree,noun-en,
ett,porto,postage,noun-ett,
ett,stick,stick,noun-ett,
att,rotera,rotate,verb,
en,kiosk,kiosk,noun-en,
ett,galler,grid,noun-ett,
,onormal,abnormal,adjective,
,oräknelig,countless,adjective,
en,olivolja,olive oil,noun-en,
en,bokning,reservation,noun-en,
,förskräcklig,awful,adjective,
att,inspektera,inspect,verb,
att,orientera,orient,verb,e.g. orientera sig
att,smeka,caress,verb,
,välgörande,beneficial,adjective,
en,reception,reception,noun-en,
en,reproduktion,reproduction,noun-en,
en,konsul,consul,noun-en,
ett,konsulat,consulate,noun-ett,
,medvetslös,unconscious,adjective,
en,moped,moped,noun-en,
att,sammanträda,meet,verb,
ett,altare,altar,noun-ett,
en,kidnappning,kidnapping,noun-en,
en,uppfyllelse,fulfillment,noun-en,
en,betingelse,condition,noun-en,
att,förplikta,order,verb,
en,handväska,handbag,noun-en,
att,häkta,arrest,verb,
ett,rådjur,deer,noun-ett,
en,specialisering,specialization,noun-en,
ett,överfall,assault,noun-ett,
ett,frimärke,stamp,noun-ett,
ett,lakan,sheets,noun-ett,
en,gurka,cucumber,noun-en,
en,kanna,pot,noun-en,
en,midja,waist,noun-en,
att,omringa,surround,verb,
en,styrelseordförande,chairman,noun-en,
att,ödelägga,devastate,verb,
en,slang,hose,noun-en,
ett,överhuvud,head,noun-ett,
en,handelsman,shopkeeper,noun-en,
,linjär,linear,adjective,
en,telekommunikation,telecommunication,noun-en,
,karakteristisk,characteristic,adjective,
en,åklagarmyndighet,prosecution,noun-en,
en,årsdag,anniversary,noun-en,
en,repetition,repetition,noun-en,
en,underskrift,signature,noun-en,
en,förgrund,foreground,noun-en,
en,grönska,greenery,noun-en,
en,kungörelse,announcement,noun-en,
att,besvära,trouble,verb,
en,reflex,reflex,noun-en,
en,inspektör,inspector,noun-en,
,stum,speechless,adjective,
att,uppdra,instruct,verb,
att,gunga,swing,verb,
,kooperativ,cooperative,adjective,
en,legitimation,identification,noun-en,
,patriotisk,patriotic,adjective,
en,aptit,appetite,noun-en,
,artig,polite,adjective,
en,beskyddare,patron,noun-en,
en,samstämmighet,consistency,noun-en,
ett,uppehälle,subsistence,noun-ett,
ett,segment,segment,noun-ett,
en,stege,ladder,noun-en,
en,rea,sale,noun-en,
en,oliv,olive,noun-en,
en,syra,acid,noun-en,
att,vattna,water,verb,
att,besätta,occupy,verb,
en,dispyt,dispute,noun-en,
en,kräfta,crayfish,noun-en,
,läcker,delicious,adjective,
en,vaktmästare,janitor,noun-en,
en,byggnation,construction,noun-en,
,förlåt,sorry,interj,
ett,bi,bi,noun-ett,
en,dårskap,folly,noun-en,
en,räka,shrimp,noun-en,
en,terminal,terminal,noun-en,
ett,vakuum,vacuum,noun-ett,
en,fusion,fusion,noun-en,
en,utskrift,printing,noun-en,
en,offert,offer,noun-en,
ett,botemedel,cure,noun-ett,
,säregen,individual,adjective,
en,taxa,tariff,noun-en,
,välvillig,benevolent,adjective,
,klumpig,clumsy,adjective,
en,tillflykt,refuge,noun-en,
en,vävnad,tissue,noun-en,
ett,majestät,majesty,noun-ett,
en,immunitet,immunity,noun-en,
en,ombildning,rearrangement,noun-en,
,omstridd,disputed,adjective,
en,periferi,periphery,noun-en,
en,nunna,nun,noun-en,
en,löjtnant,lieutenant,noun-en,
att,återlämna,return,verb,
en,stav,rod,noun-en,
,fridfull,peaceful,adjective,
ett,höghus,towers,noun-ett,
en,innevånare,inhabitants,noun-en,
att,sjösätta,launch,verb,
ett,trauma,trauma,noun-ett,
ett,oväder,storm,noun-ett,
en,spion,spy,noun-en,
att,komplicera,complicate,verb,
ett,substantiv,noun,noun-ett,
en,undersida,underside,noun-en,
att,putsa,polishing,verb,
en,kam,comb,noun-en,
,manuell,manual,adjective,
ett,mittfält,midfield,noun-ett,
en,pizzeria,pizzeria,noun-en,
en,sittplats,seat,noun-en,
en,uthyrning,rental,noun-en,
en,komplimang,compliment,noun-en,
ett,handtag,handle,noun-ett,
att,bemästra,master,verb,
,obekant,unfamiliar,adjective,
att,stapla,stack,verb,
ett,tusental,thousand,noun-ett,
att,berättiga,justify,verb,
,stereotyp,stereotype,adjective,
en,vitlök,garlic,noun-en,
,alkoholism,alcoholism,noun-en,
en,beröring,touch,noun-en,
ett,bete,bait,noun-ett,
,flerårig,perennial,adjective,
att,förråda,betray,verb,
en,försändelse,consignment,noun-en,
en,resväska,suitcase,noun-en,
,flyktig,volatile,adjective,
en,kirurg,surgeon,noun-en,
,otvivelaktigt,undoubtedly,adverb,
,saft,juice,noun-en,
en,varaktighet,duration,noun-en,
en,lekplats,playground,noun-en,
en,tillförlitlighet,reliability,noun-en,
,adjö,goodbye,interj,
en,käpp,cane,noun-en,
att,lossa,loosen,verb,
en,summering,summation,noun-en,
,exekutiv,executive,adjective,
en,kandidatur,candidacy,noun-en,
en,tum,inch,noun-en,
en,återkoppling,feedback,noun-en,
att,dofta,smell,verb,
en,encyklopedi,encyclopedia,noun-en,
en,förrädare,betrayer,noun-en,
en,tvättmaskin,washing machine,noun-en,
en,kvist,twig,noun-en,
en,tvål,soap,noun-en,
en,madrass,mattress,noun-en,
en,heder,honor,noun-en,
en,knop,knot,noun-en,
en,maträtt,dish,noun-en,
en,njure,kidney,noun-en,
att,alstra,generate,verb,
,beslutsam,determined,adjective,
en,kontur,contour,noun-en,
att,värka,ache,verb,
en,droppe,drop,noun-en,
att,inställa,adjust,verb,
att,programmera,program,verb,
en,resebyrå,travel agent,noun-en,
en,gnista,spark,noun-en,
en,envishet,stubbornness,noun-en,
,stilig,stylish,adjective,
,vänskaplig,friendly,adjective,
en,kristall,crystal,noun-en,
,passionerad,passionate,adjective,
,yr,dizzy,adjective,
en,besiktning,inspection,noun-en,
en,delgivning,service,noun-en,
att,gjuta,cast,verb,
att,smörja,grease,verb,
att,ådra,incur,verb,
en,åkomma,affliction,noun-en,
en,stång,rod,noun-en,
att,konsultera,consult,verb,
att,återuppliva,revive,verb,
en,växtlighet,vegetation,noun-en,
,frost,frost,noun-en,
en,lykta,lantern,noun-en,
,akustisk,acoustic,adjective,
en,antydning,insinuating,noun-en,
en,häl,heel,noun-en,
en,hängivenhet,devotion,noun-en,
en,orätt,wrong,noun-en,
en,syntes,showed,noun-en,
,ungdomlig,youthful,adjective,
en,citron,lemon,noun-en,
ett,tillbakadragande,withdrawal,noun-ett,
en,förfalskning,counterfeiting,noun-en,
en,tass,paw,noun-en,
en,trasa,cloth,noun-en,
en,orgel,organ,noun-en,
ett,oberoende,independent,noun-ett,
en,geometri,geometry,noun-en,
ett,omfång,range,noun-ett,
,oviss,uncertain,adjective,
en,uteslutning,exclusion,noun-en,
att,utsända,transmitted,verb,
en,pensionering,retirement,noun-en,
att,förstora,enlarge,verb,
,försvinnande,disappearance,adverb,
ett,paraply,umbrella,noun-ett,
ett,plakat,placard,noun-ett,
en,veranda,porch,noun-en,
,kosttillskott,supplements,noun-ett,
en,krock,crash,noun-en,
ett,skyltfönster,storefront,noun-ett,
,munter,cheerful,adjective,
,shorts,shorts,noun-en,
ett,vandrarhem,hostels,noun-ett,
en,kvadrat,square,noun-en,
ett,raseri,rage,noun-ett,
en,tangent,key,noun-en,
en,interiör,interior,noun-en,
en,bondgård,farmhouse,noun-en,
en,brådska,hurry,noun-en,
en,svartsjuka,jealousy,noun-en,
en,älskarinna,lover,noun-en,
ett,adjektiv,adjective,noun-ett,
en,berömmelse,fame,noun-en,
en,bundsförvant,ally,noun-en,
,fjärran,distance,adverb,
,utantill,without the,adverb,
att,överträda,violating,verb,
,bortskämd,spoiled,adjective,
en,byggare,builder,noun-en,
,obildad,illiterate,adjective,
ett,bål,trunk,noun-ett,
,horisontell,horizontal,adjective,
att,imitera,imitate,verb,
,optisk,optical,adjective,
ett,temperament,temperament,noun-ett,
en,uppställning,line-up,noun-en,
en,bedragare,imposter,noun-en,
ett,tonfall,tone,noun-ett,
,fotografisk,photographic,adjective,
att,skissera,outline,verb,
en,kollision,collision,noun-en,
,magnetisk,magnetic,adjective,
,sparsam,economical,adjective,
,prestigefylld,prestigious,adjective,
en,kran,crane,noun-en,
en,småstad,small town,noun-en,
en,vingård,vineyard,noun-en,
att,flamma,flame,verb,
att,försona,reconcile,verb,
,treårig,three year,adjective,
att,utlämna,extradite,verb,
ett,linne,tank top,noun-ett,
en,nybyggare,settler,noun-en,
en,triangel,triangle,noun-en,
,utsliten,worn out,adjective,
,slank,slender,adjective,
att,annullera,cancel,verb,
en,brandkår,fire brigade,noun-en,
en,pinne,stick,noun-en,
en,hare,hare,noun-en,
,jämförande,comparative,adjective,
ett,ministerium,ministry,noun-ett,
en,vikarie,locum tenens,noun-en,
,astma,asthma,noun-en,
att,förvirra,confuse,verb,
en,inflammation,inflammation,noun-en,
att,larma,alarm,verb,
att,mätta,saturate,verb,
ett,plåster,band-aid,noun-ett,
en,rotation,rotation,noun-en,
en,skolgård,school playground,noun-en,
en,åtkomst,access,noun-en,
att,övernatta,overnight,verb,
en,egenhet,kink,noun-en,
en,oordning,disorder,noun-en,
en,revidering,revision,noun-en,
en,smörja,grease,noun-en,
en,ålderdom,old age,noun-en,
ett,kommando,command,noun-ett,
en,utmattning,fatigue,noun-en,
,keramik,ceramics,noun,
en,mustasch,mustache,noun-en,
en,baron,baron,noun-en,
en,boss,boss,noun-en,
ett,läder,leather,noun-ett,
en,rengöring,cleaning,noun-en,
en,avfärd,departure,noun-en,
en,hink,bucket,noun-en,
en,matematiker,mathematician,noun-en,
en,passning,fit,noun-en,
en,tillsättning,addition,noun-en,
en,hemort,domicile,noun-en,
att,instruera,instruct,verb,
att,rengöra,clean,verb,
en,dekoration,decoration,noun-en,
,månatlig,monthly,adjective,
en,patriotism,patriotism,noun-en,
att,tillmötesgå,accommodate,verb,
en,gås,goose,noun-en,
,programmering,programming,noun-en,
en,vicepresident,vice,noun-en,
att,avla,breed,verb,
en,brigad,brigade,noun-en,
,allsidig,round,adjective,
,komfort,comfort,noun,
,listig,smart,adjective,
en,simulering,simulation,noun-en,
att,återbetala,repay,verb,
,sned,oblique,adjective,
en,bassäng,pool,noun-en,
,närbelägen,nearby,adjective,
en,pensel,paintbrush,noun-en,
en,luftfart,aviation,noun-en,
en,patrull,patrol,noun-en,
ett,arbetsrum,study,noun-ett,
en,implementering,implementation,noun-en,
en,hydda,hut,noun-en,
,oerfaren,inexperienced,adjective,
,bokstavlig,literal,adjective,
,elektromagnetisk,electromagnetic,adjective,
,rymlig,spacious,adjective,
en,världsåskådning,philosophy,noun-en,
ett,ansiktsuttryck,facial expression,noun-ett,
en,frigivning,release,noun-en,
en,pristagare,laureate,noun-en,
,självsäker,confident,adjective,
,fiber,fiber,noun-en,
,dricks,tip,noun-en,
,tam,tame,adjective,
en,oreda,mess,noun-en,
ett,förnekande,denial,noun-ett,
en,algoritm,algorithm,noun-en,
en,tall,pine,noun-en,
,avsiktlig,intentional,adjective,
en,biolog,biologist,noun-en,
en,tarm,intestinal,noun-en,
,adlig,noble,adjective,
en,spegelbild,reflection,noun-en,
ett,campus,campus,noun-ett,
ett,brännvin,brandy,noun-ett,
,kompatibel,compatible,adjective,
,ängslig,anxious,adjective,
,tolfte,twelfth,numeral,
att,beväpna,arm,verb,
,tvåhundra,two hundred,numeral,
en,biff,steak,noun-en,
en,ratificering,ratification,noun-en,
en,skådespelerska,actress,noun-en,
,slavisk,slavish,adjective,
att,glänsa,shine,verb,
en,ömhet,tenderness,noun-en,
,föräldralös,orphan,adjective,
en,tumör,tumor,noun-en,
en,vidareutveckling,development,noun-en,
en,juice,juice,noun-en,
att,deponera,deposit,verb,
,kirurgi,surgery,noun,
ett,närmande,approach,noun-ett,
